a52dec 0.7.4-11
libgudev 237-2
libgxps 0.3.2-1
libhandy 1.6.3-1
libheif 1.12.0-3
libibus 1.5.26-2
libice 1.0.10-4
libidn 1.41-1
libidn2 2.3.2-1
libiec61883 1.2.0-6
libimagequant 2.17.0-3
libimobiledevice 1.3.0-5
libindicator-gtk3 12.10.1-10
libinih 55-2
libinput 1.21.0-1
libiptcdata 1.0.4-5
libisl 0.25-1
libjpeg-turbo 2.1.3-2
libkexiv2 22.04.3-1
libksba 1.6.0-1
libldac 2.0.2.3-1
libldap 2.6.2-2
liblqr 0.4.2-3
libluv 1.43.0_0-1
libmad 0.15.1b-9
libmanette 0.2.6-3
libmatroska 1.6.3-2
libmfx 22.4.4-1
libmng 2.0.3-3
libmnl 1.0.5-1
libmodplug 0.8.9.0-3
libmpc 1.2.1-2
libmpcdec 1:0.1+r475-3
libmpdclient 2.20-2
libmpeg2 0.5.1-7
libmtp 1.1.20-1
libmypaint 1.6.1-1
libnatpmp 20150609-3
libnautilus-extension 42.2-1
libnetfilter_conntrack 1.0.9-1
libnfnetlink 1.0.2-1
libnftnl 1.2.2-1
libnghttp2 1.48.0-1
libnl 3.7.0-1
libnm 1.38.2-2
libnotify 0.7.12-1
libnsl 2.0.0-2
libogg 1.3.5-1
libomxil-bellagio 0.9.3-3
libosinfo 1.10.0-1
libp11-kit 0.24.1-1
libpaper 1.1.28-2
libpcap 1.10.1-2
libpciaccess 0.16-3
libpipeline 1.5.6-1
libplacebo 4.192.1-3
libplist 2.2.0-5
libpng 1.6.37-3
libportal 0.6-1
libportal-gtk3 0.6-1
libproxy 0.4.18-1
libpsl 0.21.1-1
libpulse 16.1-1
libraqm 0.9.0-1
libraw 0.20.2-2
libraw1394 2.1.2-3
librevenge 0.0.4-4
librsvg 2:2.54.4-1
libsasl 2.1.28-1
libseccomp 2.5.4-1
libsecret 0.20.5-2
libsigc++ 2.10.8-1
libsigsegv 2.14-1
libsm 1.2.3-3
libsndfile 1.1.0-2
libsodium 1.0.18-2
libsoup 2.74.2-2
libsoup3 3.0.7-1
libsoxr 0.1.3-2
libspectre 0.2.10-1
libspiro 1:20200505-2
libssh 0.9.6-1
libssh2 1.10.0-1
libstemmer 2.2.0-2
libsynctex 2022.62885-1
libsysprof-capture 3.44.0-1
libtar 1.2.20-6
libtasn1 4.18.0-1
libtermkey 0.22-2
libthai 0.1.29-1
libtheora 1.1.1-5
libtiff 4.4.0-1
libtirpc 1.3.2-1
libtool 2.4.7-2
libuninameslist 20211114-1
libunistring 1.0-1
libunrar 1:6.1.7-1
libunwind 1.6.2-1
libupnp 1.14.12-3
liburcu 0.13.1-1
libusb 1.0.26-1
libusbmuxd 2.0.2-1
libutempter 1.2.1-3
libutf8proc 2.7.0-2
libuv 1.43.0-1
libva 2.15.0-1
libvdpau 1.5-1
libverto 0.3.2-4
libvisio 0.1.7-7
libvisual 0.4.0-8
libvorbis 1.3.7-3
libvpx 1.12.0-1
libvterm01 0.1.4-2
libwacom 2.3.0-1
libwebp 1.2.2-1
libwmf 0.2.12-2
libwpd 0.10.3-3
libwpe 1.12.0-2
libwpg 0.3.3-3
libx11 1.8.1-3
libxau 1.0.9-4
libxaw 1.0.14-1
libxcb 1.15-1
libxcomposite 0.4.5-4
libxcrypt 4.4.28-2
libxcursor 1.2.1-1
libxcvt 0.1.1-1
libxdamage 1.1.5-4
libxdg-basedir 1.2.3-1
libxdmcp 1.1.3-4
libxext 1.3.4-4
libxfixes 6.0.0-1
libxfont2 2.0.5-1
libxft 2.3.4-1
libxi 1.8-1
libxinerama 1.1.4-4
libxkbcommon 1.4.1-1
libxkbcommon-x11 1.4.1-1
libxkbfile 1.1.0-3
libxklavier 5.4-3
libxml2 2.9.14-1
libxmu 1.1.3-3
libxpm 3.5.13-3
libxrandr 1.5.2-4
libxrender 0.9.10-5
libxshmfence 1.3-3
libxslt 1.1.35-1
libxss 1.2.3-4
libxt 1.2.1-1
libxtst 1.2.3-5
libxv 1.0.11-5
libxxf86vm 1.1.4-5
libyaml 0.2.5-1
libyuv r2322+3aebf69d-1
licenses 20220125-1
lightdm 1:1.30.0-4
lightdm-gtk-greeter 1:2.0.8-2
lightdm-gtk-greeter-settings 1.2.2-7
lilv 0.24.14-2
linux 5.18.11.arch1-1
linux-api-headers 5.17.5-2
linux-firmware 20220610.7b71b75-1
linux-firmware-whence 20220610.7b71b75-1
llvm-libs 14.0.6-1
lm_sensors 1:3.6.0.r41.g31d1f125-1
lsb-release 2.0.r48.3cf5103-1
lsof 4.95.0-1
lua 5.4.4-1
lua52 5.2.4-5
luajit 2.1.0.beta3.r422.g4c2441c1-1
luit 20220111-1
lv2 1.18.4-2
lvm2 2.03.16-1
lz4 1:1.9.3-2
lzo 2.10-3
m4 1.4.19-1
make 4.3-3
man-db 2.10.2-1
mathjax 3.2.2-1
md4c 0.4.8-1
mdadm 4.2-2
media-player-info 24-2
mesa 22.1.3-1
metis 5.1.0.p10-2
miniupnpc 2.2.3-1
minizip 1:1.2.12-2
mkinitcpio 31-3
mkinitcpio-busybox 1.35.0-1
mpfr 4.1.0.p13-2
msgpack-c 4.0.0-1
mtdev 1.1.6-2
mypaint-brushes1 1.3.1-1
nano 6.3-1
nautilus 42.2-1
ncurses 6.3-3
ndctl 73-1
neofetch 7.1.0-2
neovim 0.7.2-3
nerd-fonts-sf-mono 2.1.0-9
netpbm 10.73.37-1
nettle 3.8-1
node-gyp 9.0.0-1
nodejs 18.5.0-1
nodejs-nopt 5.0.0-2
noto-fonts-emoji 20211101-1
noto-fonts-sc 2:20210430-2
noto-fonts-tc 2:20201206-1
npm 8.14.0-1
npth 1.6-3
nspr 4.34-1
nss 3.80-1
ntfs-3g 2022.5.17-1
nvidia 515.57-5
nvidia-utils 515.57-1
okular 22.04.3-1
oniguruma 6.9.8-1
openal 1.22.2-1
opencl-nvidia 515.57-1
opencore-amr 0.1.5-5
openexr 3.1.5-1
openjpeg2 2.5.0-1
openssh 9.0p1-1
openssl 1.1.1.q-1
optipng 0.7.7-2
opus 1.3.1-3
orc 0.4.32-1
osinfo-db 20220516-1
otf-ipafont 003.03-8
otf-san-francisco-mono 1-10
p11-kit 0.24.1-1
p7zip 1:17.04-3
paccache-hook 1.1.0-1
pacman 6.0.1-5
pacman-contrib 1.6.0-1
pacman-mirrorlist 20220605-1
pam 1.5.2-1
pambase 20211210-1
pango 1:1.50.8-1
pangomm 2.46.2-1
parallel 20220622-1
parted 3.5-1
patch 2.7.6-8
pciutils 3.8.0-2
pcre 8.45-1
pcre2 10.40-1
perl 5.36.0-1
perl-error 0.17029-4
perl-file-which 1.27-2
perl-mailtools 2.21-6
perl-timedate 2.33-4
phonon-qt5 4.11.1-3
phonon-qt5-gstreamer 4.10.0-3
pinentry 1.2.0-1
pipewire 1:0.3.55-2
pipewire-alsa 1:0.3.55-2
pipewire-jack 1:0.3.55-2
pipewire-pulse 1:0.3.55-2
pixman 0.40.0-2
pkgconf 1.8.0-1
podofo 0.9.8-1
polkit 121-1
polkit-qt5 0.114.0-1
polybar 3.6.3-2
popcorntime-bin 0.4.7-1
poppler 22.07.0-1
poppler-data 0.4.11-1
poppler-glib 22.07.0-1
poppler-qt5 22.07.0-1
popt 1.18-3
potrace 1.16-2
procps-ng 3.3.17-1
psmisc 23.5-1
purpose 5.96.0-1
python 3.10.5-1
python-anytree 2.8.0-5
python-apipkg 2.1.1-1
python-appdirs 1.4.4-6
python-apsw 3.38.5-1
python-attrs 21.4.0-1
python-automat 20.2.0-9
python-bcrypt 3.2.2-1
python-beautifulsoup4 4.10.0-1
python-biscuits 0.3.0-1
python-brotli 1.0.9-8
python-brotlicffi 1.0.9.2-3
python-build 0.8.0-1
python-cchardet 2.1.7-4
python-cffi 1.15.1-1
python-chardet 4.0.0-5
python-charset-normalizer 2.1.0-1
python-click 8.1.3-1
python-colorama 0.4.5-1
python-constantly 15.1.0-11
python-cryptography 37.0.4-1
python-css-parser 1.0.7-1
python-cssselect 1.1.0-9
python-cssselect2 0.5.0-1
python-dateutil 2.8.2-4
python-decorator 5.1.1-1
python-deprecation 2.1.0-6
python-dnspython 1:2.2.1-1
python-docopt 0.6.2-11
python-feedparser 6.0.3-1
python-fonttools 4.34.4-1
python-gobject 3.42.1-1
python-html2text 2020.1.16-5
python-html5-parser 0.4.10-3
python-html5lib 1.1-11
python-hyperlink 21.0.0-4
python-idna 3.3-4
python-ifaddr 0.2.0-1
python-importlib-metadata 4.8.1-3
python-incremental 21.3.0-5
python-inflate64 0.1.3-1
python-iniconfig 1.1.1-5
python-installer 0.5.1-1
python-jaraco.context 4.1.1-2
python-jaraco.functools 3.5.0-2
python-jaraco.text 3.8.0-2
python-jeepney 0.7.1-3
python-js2py 0.71-3
python-keyutils 0.6-8
python-lxml 4.9.0-1
python-markdown 3.3.7-1
python-mechanize 1:0.4.8-1
python-more-itertools 8.13.0-2
python-msgpack 1.0.3-1
python-multivolumefile 0.2.3-3
python-netifaces 0.11.0-3
python-nspektr 0.4.0-1
python-numpy 1.23.0-1
python-ordered-set 4.0.2-6
python-packaging 21.3-1
python-paramiko 2.11.0-1
python-pdfminer 20220524-1
python-pdfplumber 0.7.0-1
python-pep517 0.12.0-4
python-pikepdf 5.3.1-1
python-pillow 9.2.0-1
python-pluggy 1.0.0-1
python-ply 3.11-10
python-psutil 5.9.1-1
python-py 1.11.0-1
python-py7zr 0.19.0-1
python-pybcj 0.6.1-1
python-pychm 0.8.6-6
python-pycparser 2.21-3
python-pycryptodome 3.15.0-1
python-pycryptodomex 3.12.0-1
python-pydyf 0.2.0-1
python-pygments 2.12.0-1
python-pyjsparser 2.7.1-9
python-pynacl 1.4.0-5
python-pyparsing 3.0.9-1
python-pyphen 0.12.0-1
python-pyppmd 0.18.2-1
python-pyqt5 5.15.7-1
python-pyqt5-sip 12.11.0-1
python-pyqt5-webengine 5.15.6-1
python-pyte 0.8.1-1
python-pytest 7.1.2-1
python-pytz 2022.1-1
python-pyzstd 0.15.2-1
python-readability-lxml 0.8.1-5
python-regex 2022.6.2-1
python-requests 2.27.1-1
python-requests-toolbelt 0.9.1-7
python-responses 0.21.0-1
python-setuptools 1:61.3.1-1
python-sgmllib3k 1.0.0-4
python-six 1.16.0-5
python-soupsieve 2.3.1-1
python-texttable 1.6.4-3
python-tinycss2 1.1.1-1
python-titlecase 2.2.0-1
python-tomli 2.0.1-1
python-trove-classifiers 2022.6.26-1
python-twisted 21.7.0-4
python-typing_extensions 4.2.0-1
python-tzlocal 1:2.1-1
python-unidecode 1.3.4-1
python-unrardll 0.1.5-1
python-urllib3 1.26.9-1
python-validate-pyproject 0.9-1
python-wand 0.6.7-3
python-wcwidth 0.2.5-6
python-weasyprint 56.0-1
python-webencodings 0.5.1-9
python-wheel 0.37.1-1
python-yaml 6.0-1
python-zeroconf 0.38.7-1
python-zipp 3.8.0-2
python-zope-interface 5.4.0-4
python-zopfli 0.2.1-1
python2 2.7.18-5
qpdf 10.6.3-1
qt5-base 5.15.5+kde+r170-1
qt5-declarative 5.15.5+kde+r19-1
qt5-graphicaleffects 5.15.5+kde+r0-1
qt5-imageformats 5.15.5+kde+r4-1
qt5-location 5.15.5+kde+r3-1
qt5-multimedia 5.15.5+kde+r1-1
qt5-quickcontrols 5.15.5+kde+r0-1
qt5-quickcontrols2 5.15.5+kde+r5-1
qt5-speech 5.15.5+kde+r1-1
qt5-svg 5.15.5+kde+r10-1
qt5-tools 5.15.5+kde+r1-3
qt5-translations 5.15.5+kde+r2-1
qt5-wayland 5.15.5+kde+r38-1
qt5-webchannel 5.15.5+kde+r3-1
qt5-webengine 5.15.10-2
qt5-x11extras 5.15.5+kde+r0-1
ragel 6.10-3
rav1e 0.4.1-2
re2 1:20220601-1
readline 8.1.002-1
reflector 2021.11-3
reflector-pacman-hook-git r81.9d5f298-1
rest 0.8.1+r4+ge5ee6ef-1
restream-git r128.3862d9c-1
rhash 1.4.2-1
rmapi 0.0.20-1
rmview-git r231.396acde-1
rofi 1.7.3-1
rpi-imager-bin 1.7.2-1
rsync 3.2.4-1
run-parts 5.5-1
rust 1:1.62.0-1
sbc 1.5-2
sdl2 2.0.22-2
sed 4.8-1
semver 7.3.7-1
serd 0.30.12-2
serf 1.3.9-5
shaderc 2022.1-4
shadow 4.11.1-1
shared-mime-info 2.0+144+g13695c7-1
signon-kwallet-extension 22.04.3-1
signon-plugin-oauth2 0.25-1
signon-ui 0.17+20171022-3
signond 8.61-1
skypeforlinux-stable-bin 8.86.0.407-1
